id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,market,quality_flags,validation_excluded,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,primary_theme,theme_source,theme_inference_status,secondary_themes,theme_routing_path,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,selection_lane,target_horizon_days,price_band,is_sub7,max_return_observed_pct,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct
24073,062040.KS,산일전기,,,14.0,,,DOWN,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.json#062040.KS,62.4,RUN-42B98BAA,11.0,OBSERVE,watchlist,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,153500.0,0.0,,,,,planner_handoff.json#062040.KS,SWING,,,,KR_CORE,,KOSPI,,,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,unclassified,stock_master,blank,[],core_only,-32.71,-2.78,-4.97,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24074,000150.KS,두산,100.0,,21.0,,,UP,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.watchlist_meta#000150.KS,119.0,RUN-42B98BAA,13.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,1281000.0,0.0,,,,,planner_handoff.watchlist_meta#000150.KS,SWING,,,,,,KOSPI,,,,,,,친환경/에너지,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24075,000660.KS,SK하이닉스,100.0,,29.0,,,UP,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.watchlist_meta#000660.KS,119.0,RUN-42B98BAA,14.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,1027000.0,0.0,,,,,planner_handoff.watchlist_meta#000660.KS,SWING,,,,,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24076,000720.KS,현대건설,100.0,,25.0,,,UP,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.watchlist_meta#000720.KS,119.0,RUN-42B98BAA,15.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,179500.0,0.0,,,,,planner_handoff.watchlist_meta#000720.KS,SWING,,,,,,KOSPI,,,,,,,건설/부동산,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24077,006400.KS,삼성SDI,100.0,,24.0,,,UP,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.watchlist_meta#006400.KS,119.0,RUN-42B98BAA,16.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,481000.0,0.0,,,,,planner_handoff.watchlist_meta#006400.KS,SWING,,,,,,KOSPI,,,,,,,2차전지,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24078,009150.KS,삼성전기,100.0,,24.0,,,UP,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.watchlist_meta#009150.KS,119.0,RUN-42B98BAA,17.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,565000.0,0.0,,,,,planner_handoff.watchlist_meta#009150.KS,SWING,,,,,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24079,032830.KS,삼성생명,81.0,,16.0,,,UP,KR,2026-04-10T03:53:17.19087+00:00,,,,,,,planner_handoff.watchlist_meta#032830.KS,119.0,RUN-42B98BAA,18.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:53:17.19087+00:00,,T+3D,2026-04-10,234500.0,0.0,,,,,planner_handoff.watchlist_meta#032830.KS,SWING,,,,,,KOSPI,,,,,,,건설/부동산,stock_master,inferred,['금융'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23025,034020.KS,두산에너빌리티,,,19.0,,,UP,KR,2026-04-10T03:02:14.430352+00:00,,,,,,,planner_handoff.json#034020.KS,56.6,RUN-AEA7E634,2.0,OBSERVE,watchlist,PENDING,2026-04-10T03:02:14.430352+00:00,,T+3D,2026-04-10,100200.0,0.0,,,,,planner_handoff.json#034020.KS,SWING,,,,KR_CORE,,KOSPI,,,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,조선/해양,stock_master,inferred,['건설/부동산'],core_only,-16.56,-1.41,-2.3,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23026,000660.KS,SK하이닉스,100.0,,27.0,,,UP,KR,2026-04-10T03:02:14.430352+00:00,,,,,,,planner_handoff.watchlist_meta#000660.KS,119.0,RUN-AEA7E634,3.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:02:14.430352+00:00,,T+3D,2026-04-10,1027000.0,0.0,,,,,planner_handoff.watchlist_meta#000660.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23027,005930.KS,삼성전자,72.0,,19.0,,,UP,KR,2026-04-10T03:02:14.430352+00:00,,,,,,,planner_handoff.watchlist_meta#005930.KS,113.0,RUN-AEA7E634,4.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:02:14.430352+00:00,,T+3D,2026-04-10,206000.0,0.0,,,,,planner_handoff.watchlist_meta#005930.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23028,402340.KS,SK스퀘어,100.0,,21.0,,,NEUTRAL,KR,2026-04-10T03:02:14.430352+00:00,,,,,,,planner_handoff.watchlist_meta#402340.KS,107.0,RUN-AEA7E634,5.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:02:14.430352+00:00,,T+3D,2026-04-10,568000.0,0.0,,,,,planner_handoff.watchlist_meta#402340.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,금융,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23029,005380.KS,현대차,90.0,,16.0,,,DOWN,KR,2026-04-10T03:02:14.430352+00:00,,,,,,,planner_handoff.watchlist_meta#005380.KS,86.0,RUN-AEA7E634,6.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T03:02:14.430352+00:00,,T+3D,2026-04-10,489500.0,0.0,,,,,planner_handoff.watchlist_meta#005380.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,자동차,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24416,012450.KS,한화에어로스페이스,,,21.0,,,UP,KR,2026-04-10T03:02:14.430352+00:00,,,,,,,planner_handoff.json#012450.KS,76.9,RUN-AEA7E634,1.0,OBSERVE,watchlist,PENDING,2026-04-10T03:02:14.430352+00:00,,T+3D,2026-04-10,1507000.0,0.0,,,,,planner_handoff.json#012450.KS,SWING,,,,KR_CORE,,KOSPI,,,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,방산,stock_master,rule_inferred,[],core_only,-14.0,-1.19,-1.87,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
