,Ticker,Reason,Alpha,Conviction,Prob5,Clean,Trend,Tier,Name,Market,Regime,ExceptionScore,RecommendException,ExceptionReasons,ProfilePolicy,ProfileAdjustment,ProfileConfidence,ProfileSignals,ProfileWin5D,ProfileAvg5D,ProfileRR
162,217730.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,40.0,50.1,38.7,32.5,,3,강스템바이오텍,KOSDAQ,BEAR,11.0,N,PROB5_35_PLUS;CLEAN_25_PLUS,NONE,0.0,0.0,,,,
46,049080.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,51.0,43.6,21.1,19.0,,3,기가레인,KOSDAQ,BEAR,10.0,N,ALPHA_45_PLUS,NONE,0.0,0.0,,,,
126,126600.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,50.0,30.0,31.7,19.9,,3,BGF에코머티리얼즈,KOSDAQ,BEAR,10.0,N,ALPHA_45_PLUS,NONE,0.0,0.0,,,,
170,230240.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,45.0,51.7,27.3,22.8,,3,에치에프알,KOSDAQ,BEAR,10.0,N,ALPHA_45_PLUS,NONE,0.0,0.0,,,,
237,388790.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,45.0,51.5,26.4,23.1,,3,라이콤,KOSDAQ,BEAR,10.0,N,ALPHA_45_PLUS,NONE,0.0,0.0,,,,
1,003380.KQ,KR_HARD_FILTER_FAIL,29.0,,,,UP,,하림지주,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
5,006910.KQ,KR_HARD_FILTER_FAIL,39.0,,,,UP,,보성파워텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
11,015750.KQ,KR_HARD_FILTER_FAIL,25.0,,,,UP,,성우하이텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
12,018000.KQ,KR_HARD_FILTER_FAIL,33.0,,,,UP,,유니슨,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
18,027360.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,아주IB투자,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
22,032500.KQ,KR_HARD_FILTER_FAIL,29.0,,,,UP,,케이엠더블유,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-8.7,0.602,3,0.0,-0.6486486486486531,1.6
23,032820.KQ,KR_HARD_FILTER_FAIL,14.0,,,,UP,,우리기술,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
24,033160.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,엠케이전자,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-8.8,0.602,3,0.0,-0.899100899100902,1.6
31,036930.KQ,KR_HARD_FILTER_FAIL,23.0,,,,UP,,주성엔지니어링,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
35,038500.KQ,KR_HARD_FILTER_FAIL,25.0,,,,UP,,삼표시멘트,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-18.0,0.602,3,0.0,-21.312364425162688,1.75
36,039030.KQ,KR_HARD_FILTER_FAIL,6.0,,,,UP,,이오테크닉스,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-10.9,0.602,3,0.0,-4.823989569752285,1.6
